id,top_cast,director
862,"Tom Hanks, Tim Allen, Don Rickles",John Lasseter
8844,"Robin Williams, Jonathan Hyde, Kirsten Dunst",Joe Johnston
15602,"Walter Matthau, Jack Lemmon, Ann-Margret",Howard Deutch
31357,"Whitney Houston, Angela Bassett, Loretta Devine",Forest Whitaker
11862,"Steve Martin, Diane Keaton, Martin Short",Charles Shyer
949,"Al Pacino, Robert De Niro, Val Kilmer",Michael Mann
11860,"Harrison Ford, Julia Ormond, Greg Kinnear",Sydney Pollack
45325,"Jonathan Taylor Thomas, Brad Renfro, Rachael Leigh Cook",Peter Hewitt
9091,"Jean-Claude Van Damme, Powers Boothe, Dorian Harewood",Peter Hyams
710,"Pierce Brosnan, Sean Bean, Izabella Scorupco",Martin Campbell
9087,"Michael Douglas, Annette Bening, Michael J. Fox",Rob Reiner
12110,"Leslie Nielsen, Mel Brooks, Amy Yasbeck",Mel Brooks
21032,"Kevin Bacon, Bob Hoskins, Bridget Fonda",Simon Wells
10858,"Anthony Hopkins, Joan Allen, Powers Boothe",Oliver Stone
1408,"Geena Davis, Matthew Modine, Frank Langella",Renny Harlin
524,"Robert De Niro, Sharon Stone, Joe Pesci",Martin Scorsese
4584,"Kate Winslet, Emma Thompson, Hugh Grant",Ang Lee
5,"Tim Roth, Antonio Banderas, Jennifer Beals",Allison Anders
9273,"Jim Carrey, Ian McNeice, Simon Callow",Steve Oedekerk
11517,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",Joseph Ruben
8012,"John Travolta, Gene Hackman, Rene Russo",Barry Sonnenfeld
1710,"Sigourney Weaver, Holly Hunter, Will Patton",Jon Amiel
9691,"Sylvester Stallone, Antonio Banderas, Julianne Moore",Richard Donner
12665,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",Victor Salva
451,"Nicolas Cage, Elisabeth Shue, Julian Sands",Mike Figgis
16420,"Laurence Fishburne, Irène Jacob, Kenneth Branagh",Oliver Parker
9263,"Christina Ricci, Rosie O'Donnell, Thora Birch",Lesli Linka Glatter
17015,"Amanda Root, Ciarán Hinds, Susan Fleetwood",Roger Michell
902,"Ron Perlman, Dominique Pinon, Judith Vittet",Jean-Pierre Jeunet
